minX,maxX,minY,maxY
53.356229,54.01285071428571,31.378485,34.88161457142857
53.356229,54.01285071428571,34.88161457142857,38.384744142857144
53.356229,54.01285071428571,38.384744142857144,41.88787371428572
53.356229,54.01285071428571,41.88787371428572,45.391003285714284
53.356229,54.01285071428571,45.391003285714284,48.89413285714285
53.356229,54.01285071428571,48.89413285714285,52.39726242857142
53.356229,54.01285071428571,52.39726242857142,55.900392
54.01285071428571,54.669472428571424,31.378485,34.88161457142857
54.01285071428571,54.669472428571424,34.88161457142857,38.384744142857144
54.01285071428571,54.669472428571424,38.384744142857144,41.88787371428572
54.01285071428571,54.669472428571424,41.88787371428572,45.391003285714284
54.01285071428571,54.669472428571424,45.391003285714284,48.89413285714285
54.01285071428571,54.669472428571424,48.89413285714285,52.39726242857142
54.01285071428571,54.669472428571424,52.39726242857142,55.900392
54.669472428571424,55.32609414285714,31.378485,34.88161457142857
54.669472428571424,55.32609414285714,34.88161457142857,38.384744142857144
54.669472428571424,55.32609414285714,38.384744142857144,41.88787371428572
54.669472428571424,55.32609414285714,41.88787371428572,45.391003285714284
54.669472428571424,55.32609414285714,45.391003285714284,48.89413285714285
54.669472428571424,55.32609414285714,48.89413285714285,52.39726242857142
54.669472428571424,55.32609414285714,52.39726242857142,55.900392
55.32609414285714,55.98271585714286,31.378485,34.88161457142857
55.32609414285714,55.98271585714286,34.88161457142857,38.384744142857144
55.32609414285714,55.98271585714286,38.384744142857144,41.88787371428572
55.32609414285714,55.98271585714286,41.88787371428572,45.391003285714284
55.32609414285714,55.98271585714286,45.391003285714284,48.89413285714285
55.32609414285714,55.98271585714286,48.89413285714285,52.39726242857142
55.32609414285714,55.98271585714286,52.39726242857142,55.900392
55.98271585714286,56.63933757142857,31.378485,34.88161457142857
55.98271585714286,56.63933757142857,34.88161457142857,38.384744142857144
55.98271585714286,56.63933757142857,38.384744142857144,41.88787371428572
55.98271585714286,56.63933757142857,41.88787371428572,45.391003285714284
55.98271585714286,56.63933757142857,45.391003285714284,48.89413285714285
55.98271585714286,56.63933757142857,48.89413285714285,52.39726242857142
55.98271585714286,56.63933757142857,52.39726242857142,55.900392
56.63933757142857,57.29595928571428,31.378485,34.88161457142857
56.63933757142857,57.29595928571428,34.88161457142857,38.384744142857144
56.63933757142857,57.29595928571428,38.384744142857144,41.88787371428572
56.63933757142857,57.29595928571428,41.88787371428572,45.391003285714284
56.63933757142857,57.29595928571428,45.391003285714284,48.89413285714285
56.63933757142857,57.29595928571428,48.89413285714285,52.39726242857142
56.63933757142857,57.29595928571428,52.39726242857142,55.900392
57.29595928571428,57.952580999999995,31.378485,34.88161457142857
57.29595928571428,57.952580999999995,34.88161457142857,38.384744142857144
57.29595928571428,57.952580999999995,38.384744142857144,41.88787371428572
57.29595928571428,57.952580999999995,41.88787371428572,45.391003285714284
57.29595928571428,57.952580999999995,45.391003285714284,48.89413285714285
57.29595928571428,57.952580999999995,48.89413285714285,52.39726242857142
57.29595928571428,57.952580999999995,52.39726242857142,55.900392
